TYC,RAdeg,DEdeg,BTmag,VTmag,Const,Color
0240-01806-1,147.62568167,4.34377028,6.786,6.293,Sextans,0.49299999999999944
0241-02399-1,144.30294194,6.8357775,6.334,5.125,Leo,1.2089999999999996
0246-01238-1,155.25837694,2.28972667,6.526,6.629,Sextans,-0.10299999999999976
0247-01719-1,151.03530278,3.20127611,6.924,6.479,Sextans,0.4450000000000003
0249-01535-1,156.53833833,3.93253167,6.821,6.676,Sextans,0.14499999999999957
0255-01196-1,163.05704806,1.02498194,6.477,6.381,Leo,0.09600000000000009
0255-01197-1,163.92642083,0.736935,6.431,5.984,Leo,0.44700000000000006
0259-01552-1,158.70029,6.9536175,6.248,5.174,Leo,1.0739999999999998
0262-01188-1,166.72677167,1.95572111,6.769,5.647,Leo,1.1219999999999999
0264-01157-1,171.00973389,1.40776278,6.567,5.49,Leo,1.077
0265-01270-1,165.14016472,3.61753333,6.342,4.968,Leo,1.3739999999999997
0267-01166-1,171.41445639,3.30124083,6.96,6.757,Leo,0.2030000000000003
0267-01190-1,171.45875389,3.86019083,6.753,6.395,Leo,0.35800000000000054
0267-01193-1,171.98429333,2.85629083,6.204,5.053,Leo,1.1509999999999998
0268-01064-1,165.18679667,6.10150111,5.175,4.998,Leo,0.1769999999999996
0268-01067-1,166.25507944,7.33611833,5.009,4.66,Leo,0.3490000000000002
0270-01148-1,170.28435361,6.02935278,3.972,4.031,Leo,-0.05899999999999972
0273-00621-1,178.45958028,0.55210833,6.537,6.316,Virgo,0.22100000000000009
0273-00924-1,177.67212306,1.76535778,4.256,3.649,Virgo,0.6070000000000002
0274-01078-1,173.59188056,3.06040833,6.306,5.809,Leo,0.4969999999999999
0276-01189-1,179.9871775,3.65521556,5.351,5.345,Virgo,0.006000000000000227
0278-00925-1,176.46487611,6.52979611,6.003,4.209,Virgo,1.7940000000000005
0285-00371-1,187.07684333,4.39660167,6.901,6.741,Virgo,0.16000000000000014
0285-01247-1,185.08808972,3.31272028,6.471,5.093,Virgo,1.3780000000000001
0286-00973-1,180.93551972,5.55794139,6.914,6.439,Virgo,0.47499999999999964
